Submitter	bases	rel_bases
UCSD-phs000558	1.51047800226e+12	0.000125104315156
WTCHG	1.50041440177e+12	0.000124270804277
Philip Morris International R&D	1.49967729182e+12	0.000124209753646
DOE Joint Genome Institute	1.49537461727e+12	0.000123853387547
CNRS	1.49145512369e+12	0.000123528758152
UC-COE	1.48625178827e+12	0.000123097795428
University of Edinburgh	1.48305475242e+12	0.000122833003105
New York Genome Center	1.47450869303e+12	0.000122125181537
Emory University	1.47434057355e+12	0.000122111257155
JMKIDD_LAB	1.47400476518e+12	0.000122083444055
University of Nebraska-Lincoln	1.47343439873e+12	0.00012203620384
Novogene	1.4685066361e+12	0.000121628065246
KAUST	1.46807370035e+12	0.000121592207636
BioCI	1.46755575221e+12	0.000121549308933
University of Missouri Animal Genomics	1.46600506646e+12	0.000121420874439
NCCRI	1.46173564832e+12	0.000121067262779
WUR	1.45960566675e+12	0.000120890848502
Washington University in St. Louis	1.45904160436e+12	0.000120844130418
McGill University	1.45331816994e+12	0.000120370090847
Institut Pasteur	1.45230887377e+12	0.000120286496577
CRUK-CI University of Cambridge	1.44974105772e+12	0.000120073818956
Fluidigm inc	1.44660412563e+12	0.000119814004684
NIH	1.43999442247e+12	0.000119266560507
The Rockefeller University	1.42950313108e+12	0.00011839762642
FGC	1.42056711092e+12	0.000117657506616
SCOPE	1.4205546385e+12	0.000117656473597
UNIVERSITY OF CHICAGO	1.41461863786e+12	0.000117164828373
Broad Institutue	1.41244828673e+12	0.000116985070514
WELLCOME TRUST CENTRE FOR HUMAN GENETICS, UNIVERSI	1.4109661669e+12	0.000116862314945
Rutgers University	1.40280778176e+12	0.000116186602235
NIA-phs000101	1.4022386061e+12	0.000116139460647
Washington State University	1.39881679395e+12	0.000115856051378
FZB	1.39773982864e+12	0.000115766852457
Max Planck Institute for Chemical Ecology	1.39695386184e+12	0.000115701755291
MRC Harwell	1.396077374e+12	0.000115629160781
University of Queensland	1.39020730538e+12	0.000115142976332
MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	1.38773865143e+12	0.000114938511745
UT-GALS	1.38183550806e+12	0.000114449587902
University of Exeter	1.37806003204e+12	0.000114136886664
UNIVERSITY OF ABERDEEN	1.37270624092e+12	0.000113693462549
Peking University, China	1.3717587836e+12	0.000113614990039
PMI	1.37150395276e+12	0.000113593883848
10X Genomics	1.37024527478e+12	0.000113489634699
University College London	1.35348998237e+12	0.000112101888979
EMBL EBI	1.34631017756e+12	0.00011150722652
Shanghai Ruijin Hospital	1.3420099134e+12	0.00011115106006
Yale University	1.34173874032e+12	0.000111128600333
USDA/ARS	1.34066031678e+12	0.000111039280636
Stanford-phs000886	1.3342229781e+12	0.00011050611243
UNIVERSITY OF GOTHENBURG	1.32515472847e+12	0.000109755040811
ZHEJIANG UNIVERSITY, HANGZHOU, P. R. CHINA	1.3210603756e+12	0.000109415928813
Cornell university	1.3158114533e+12	0.000108981190387
Georgia Institute of Technology	1.31169910104e+12	0.000108640587603
