date,bases,open_access_bases,bytes,open_access_bytes
"10/06/2011",169431934880753,123748332619307,199679657465249,166637886148872
"10/07/2011",169940168382874,124256566121428,200004156114756,166962384798379
"10/08/2011",169980675873478,124297073612032,200032335519661,166990564203284
"10/09/2011",170002028576269,124318426314823,200047584212239,167005812895862
"10/10/2011",170085292505941,124401690244495,200104608144105,167062836827728
"10/11/2011",170713042756033,125029440494587,200737346334564,167695575018187
"10/12/2011",171812697660772,126129095399326,201451933385061,168410162068684
"10/13/2011",174100774659062,128417172397616,203066170048287,170024398731910
"10/14/2011",175480832889699,129797230628253,204025857925260,170984086608883
"10/15/2011",175485356228371,129801753966925,204027592860305,170985821543928
"10/16/2011",175861578751699,130177976490253,204297809572823,171256038256446
"10/17/2011",176525893195064,130842290933618,204832085963523,171790314647146
"10/18/2011",176900651519633,131217049258187,205100279167795,172058507851418
"10/19/2011",177020728100543,131337125839097,205206207797885,172164436481508
"10/20/2011",177073200506009,131389598244563,205245066589841,172203295273464
"10/21/2011",177145569433515,131461967172069,205282415935830,172240644619453
"10/22/2011",177148457260869,131464854999423,205284095403190,172242324086813
"10/23/2011",177199632400511,131516030139065,205317826598407,172276055282030
"10/24/2011",177989878114488,131666646054523,205722748671580,172374254557751
"10/25/2011",178248110704677,131924878644712,205866646263407,172518152149578
"10/26/2011",178464119615795,132140887555830,206091019165631,172742525051802
"10/27/2011",178535731900125,132212499840160,206147543312681,172799049198852
"10/28/2011",178748064134675,132424832074710,206280427319476,172931933205647
"10/29/2011",179791986393272,133468754333307,206961794005775,173613299891946
"10/30/2011",179837183808792,133513951748827,206993923463950,173645429350121
"10/31/2011",180300402369075,133907142090326,207283658950020,173900204101133
"11/01/2011",182137264040033,135744003761284,208622520432287,175239065583400
"11/02/2011",183343488662938,136950228384189,209408206557780,176024751708893
"11/03/2011",199967525514817,153574265236068,219466184575628,186082729726741
"11/04/2011",200649624565785,153738730807132,219775975329080,186194662913952
"11/05/2011",200649828850202,153738935091549,219776448248439,186195135833311
"11/06/2011",203207681400709,154059250666293,221021894298064,186423935883171
"11/07/2011",204153420777942,154163204629499,221484322250093,186503640336231
"11/08/2011",204296097811922,154305881663479,221586845876240,186606163962378
"11/09/2011",206101280360319,155159759961814,222572661334316,187166096249133
"11/10/2011",206438674120062,155497153721557,222805789899400,187399224814217
"11/11/2011",206446086424303,155504566025798,222811378245194,187404813160011
"11/12/2011",206462397798573,155520877400068,222821515189982,187414950104799
"11/13/2011",206604302463273,155662782064768,222917429917090,187510864831907
"11/14/2011",207656623259096,156715102860591,223600929839983,188194364754800
"11/15/2011",207810909295525,156869388897020,223695388110322,188288823025139
"11/16/2011",207890822899423,156944959240318,223756238031742,188348447964074
"11/17/2011",207917778586021,156971914926916,223782328080371,188374538012703
"11/18/2011",207987282847123,157041419188018,223834104479349,188426314411681
"11/19/2011",207992812778234,157046949119129,223838648925986,188430858858318
"11/21/2011",210613742001450,157831486135333,225188706300961,188933336048155
"11/22/2011",211322773001303,157867199454038,225528823218162,188965072595900
"11/23/2011",212891268130745,158364876386892,226426512726606,189366627984018
"11/24/2011",212891903468269,158365511724416,226427941980476,189368057237888
"11/25/2011",213756268159724,158365566154963,226823464338591,189368086310543
"11/27/2011",213848949427218,158458247422457,226908035917834,189452657889786
"11/28/2011",215949771999671,158640264922402,227923096115999,189582845426713
"11/29/2011",216210235514033,158758622548648,228066701935660,189659048458544
"11/30/2011",216848181098924,159396568133539,228480683229046,190073029751930
"12/01/2011",217106363193987,159654750228602,228996237681847,190588584204731
"12/02/2011",218641681325663,161190068360278,230090796323139,191683142846023
"12/03/2011",219656278099171,162204665133786,230943721696381,192536068219265
"12/04/2011",219713115735871,162261502770486,230983194301347,192575540824231
"12/05/2011",220442204492914,162990591527529,231612946424951,193205292947835
"12/06/2011",221003781342190,163552168376805,232031441995005,193623788517889
"12/07/2011",221162836670536,163711223705151,232179485160549,193771831683433
"12/08/2011",222474582703711,164208286915232,233027173653315,194147587582209
"12/09/2011",222730574935580,164464279147101,233194450352551,194314864281445
"12/10/2011",222732301888212,164466006099733,233198358046261,194318771975155
"12/11/2011",222824335579205,164558039790726,233264643900612,194385057829506
"12/12/2011",223102066137961,164835492854765,233480833778158,194600636433715
"12/13/2011",223345359223924,165078785940728,233648033104034,194767835759591
"12/14/2011",224047254658567,165780681375371,234146602045307,195266404700864
"12/15/2011",227152012985713,166651029927272,235489680542906,195780736769351
"12/16/2011",227309095773848,166808112715407,235604211355634,195895267582079
"12/17/2011",227318582038904,166817598980463,235612451848988,195903508075433
"12/18/2011",227326381838004,166817598980463,235615181864793,195903508075433
"12/19/2011",229210126099698,168084669694447,236844899846116,196876714785535
"12/20/2011",229540727447798,168188800280347,237014730034797,196948428647138
"12/21/2011",229782296879613,168430369712162,237167793162351,197101491774692
"12/22/2011",230455611292134,169103684124683,237653249082481,197586947694822
"12/23/2011",231115077466039,169763150298588,238136146161272,198069844773613
"12/24/2011",231248802973044,169896875805593,238229739682859,198163438295200
"12/25/2011",231273068873135,169921141705684,238247864117841,198181562730182
"12/26/2011",231440614740400,170088687572949,238397543381657,198331241993998
"12/27/2011",231664053282154,170312126114703,238548700027308,198482398639649
"12/28/2011",231858768890732,170506841723281,238652846631427,198586545243768
"12/29/2011",232174538446786,170822611279335,238884847092932,198818545705273
"12/30/2011",232275076798520,170923149631069,238949645327610,198883343939951
"12/31/2011",232333031854635,170981104687184,238990926838175,198924625450516
"01/01/2012",232417928826367,171066001658916,239057783151560,198991481763901
"01/02/2012",232712491182001,171360564014550,239252576087866,199186274700207
"01/03/2012",233622084722720,172270157555269,239970035296459,199903733908800
"01/04/2012",234936896608098,173584969440647,240732256925958,200665955538299
"01/05/2012",235660383473876,174308456306425,241214344259846,201148042872187
"01/06/2012",236209188628193,174857261460742,241588284170850,201521982783191
"01/07/2012",236535847644972,175183920477521,241792594930837,201726293543178
"01/08/2012",236566007132372,175214079964921,241811989818345,201745688430686
"01/09/2012",237108886520039,175756959352588,242176337388365,202110036000706
"01/10/2012",238184253639040,176832326471589,243035848908031,202969547520372
"01/11/2012",239020997248116,177669070080665,243493788920689,203427487533030
"01/12/2012",239559066610095,178207139442644,243812328878792,203746027491133
"01/13/2012",241213407559982,179861480392531,244720410947443,204654109559784
"01/14/2012",241691700266432,180339773098981,245019780380041,204953478992382
"01/15/2012",241868124082728,180516196915277,245133876266236,205067574878577
"01/16/2012",242043107161179,180691179993728,245242788852048,205176487464389
"01/17/2012",243294554855640,181662218840969,246082247357089,205885623952583
"01/18/2012",243666891978672,182034555964001,246329840042357,206133216637851
"01/19/2012",244226328407292,182593992392621,246721095192304,206524471787798
